mysqld, Version: 5.5.46-log (MySQL Community Server (GPL)). started with:
Tcp port: 0  Unix socket: /var/lib/mysql/mysql.sock
Time                 Id Command    Argument
230710 23:02:31	    1 Connect	root@172.20.0.3 on warpd
		    1 Query	SELECT `Menu`.`id`, `Menu`.`type`, `Menu`.`title`, `Menu`.`description`, `Menu`.`permission_controls`, `Menu`.`parent`, `Menu`.`required`, `Menu`.`menu_group`, `Menu`.`controller`, `Menu`.`action`, `Menu`.`icon`, `Menu`.`menu_name`, `Menu`.`order`, `Menu`.`created`, `Menu`.`created_by`, `Menu`.`deleted` FROM `warpd`.`menus` AS `Menu`   WHERE `id` = 114    LIMIT 1
		    1 Query	SELECT `Menu`.`id`, `Menu`.`type`, `Menu`.`title`, `Menu`.`description`, `Menu`.`permission_controls`, `Menu`.`parent`, `Menu`.`required`, `Menu`.`menu_group`, `Menu`.`controller`, `Menu`.`action`, `Menu`.`icon`, `Menu`.`menu_name`, `Menu`.`order`, `Menu`.`created`, `Menu`.`created_by`, `Menu`.`deleted` FROM `warpd`.`menus` AS `Menu`   WHERE `id` = 47    LIMIT 1
		    1 Query	SELECT `Menu`.`id`, `Menu`.`type`, `Menu`.`title`, `Menu`.`description`, `Menu`.`permission_controls`, `Menu`.`parent`, `Menu`.`required`, `Menu`.`menu_group`, `Menu`.`controller`, `Menu`.`action`, `Menu`.`icon`, `Menu`.`menu_name`, `Menu`.`order`, `Menu`.`created`, `Menu`.`created_by`, `Menu`.`deleted` FROM `warpd`.`menus` AS `Menu`   WHERE `id` = 114    LIMIT 1
		    1 Query	SELECT `Menu`.`id`, `Menu`.`type`, `Menu`.`title`, `Menu`.`description`, `Menu`.`permission_controls`, `Menu`.`parent`, `Menu`.`required`, `Menu`.`menu_group`, `Menu`.`controller`, `Menu`.`action`, `Menu`.`icon`, `Menu`.`menu_name`, `Menu`.`order`, `Menu`.`created`, `Menu`.`created_by`, `Menu`.`deleted` FROM `warpd`.`menus` AS `Menu`   WHERE `id` = 114    LIMIT 1
		    1 Quit	
		    2 Connect	root@172.20.0.3 on warpd
		    2 Query	UPDATE `warpd`.`users` AS `User` LEFT JOIN `warpd`.`groups` AS `Group` ON (`User`.`group_id` = `Group`.`id`) LEFT JOIN `warpd`.`bdcs` AS `Bdc` ON (`User`.`bdc_id` = `Bdc`.`id`) LEFT JOIN `warpd`.`omcs` AS `Omc` ON (`User`.`omc_id` = `Omc`.`id`) LEFT JOIN `warpd`.`omc_customers` AS `OmcCustomer` ON (`User`.`omc_customer_id` = `OmcCustomer`.`id`) LEFT JOIN `warpd`.`orgs` AS `Org` ON (`User`.`org_id` = `Org`.`id`) SET `User`.`login_update_time` = '2023-07-10 23:02:31'  WHERE `User`.`id` = 100
		    2 Query	SELECT `User`.`id`, `User`.`title`, `User`.`fname`, `User`.`lname`, `User`.`mname`, `User`.`username`, `User`.`password`, `User`.`temp_pass`, `User`.`user_type`, `User`.`bdc_id`, `User`.`omc_id`, `User`.`omc_customer_id`, `User`.`org_id`, `User`.`cep_id`, `User`.`depot_id`, `User`.`group_id`, `User`.`telephone`, `User`.`email`, `User`.`active`, `User`.`created`, `User`.`created_by`, `User`.`modified`, `User`.`modified_by`, `User`.`deleted`, `User`.`login_session`, `User`.`login_update_time`, `User`.`edit_row`, `User`.`bg_color`, `User`.`shown_welcome`, `User`.`expires_on` FROM `warpd`.`users` AS `User`   WHERE `User`.`id` = 100 AND `User`.`deleted` = 'n'    LIMIT 1
		    2 Query	SELECT `MenuGroup`.`id`, `MenuGroup`.`bdc_id`, `MenuGroup`.`omc_id`, `MenuGroup`.`omc_customer_id`, `MenuGroup`.`cep_id`, `MenuGroup`.`depot_id`, `MenuGroup`.`org_id`, `MenuGroup`.`menu_id`, `MenuGroup`.`group_id`, `MenuGroup`.`permission`, `MenuGroup`.`created`, `MenuGroup`.`created_by`, `MenuGroup`.`modified`, `MenuGroup`.`modified_by`, `MenuGroup`.`deleted`, `Menu`.`id`, `Menu`.`type`, `Menu`.`title`, `Menu`.`description`, `Menu`.`permission_controls`, `Menu`.`parent`, `Menu`.`required`, `Menu`.`menu_group`, `Menu`.`controller`, `Menu`.`action`, `Menu`.`icon`, `Menu`.`menu_name`, `Menu`.`order`, `Menu`.`created`, `Menu`.`created_by`, `Menu`.`deleted` FROM `warpd`.`menu_groups` AS `MenuGroup` LEFT JOIN `warpd`.`menus` AS `Menu` ON (`MenuGroup`.`menu_id` = `Menu`.`id`)  WHERE `MenuGroup`.`omc_customer_id` = 30 AND `MenuGroup`.`group_id` = 44 AND `MenuGroup`.`deleted` = 'n'   ORDER BY `Menu`.`order` ASC
		    2 Query	SELECT `Menu`.`id`, `Menu`.`type`, `Menu`.`title`, `Menu`.`description`, `Menu`.`permission_controls`, `Menu`.`parent`, `Menu`.`required`, `Menu`.`menu_group`, `Menu`.`controller`, `Menu`.`action`, `Menu`.`icon`, `Menu`.`menu_name`, `Menu`.`order`, `Menu`.`created`, `Menu`.`created_by`, `Menu`.`deleted` FROM `warpd`.`menus` AS `Menu`   WHERE `id` = 47    LIMIT 1
