Id,Rate Category Id,Rate Category,Distance,Rate
0,3,Rates for White Products,268,0.568697
0,3,Rates for White Products,269,0.570372
0,3,Rates for White Products,270,0.572048
0,3,Rates for White Products,271,0.573723
0,3,Rates for White Products,272,0.575398
0,3,Rates for White Products,273,0.577073
0,3,Rates for White Products,274,0.578748
0,3,Rates for White Products,275,0.580424
0,3,Rates for White Products,276,0.582099
0,3,Rates for White Products,277,0.583774
0,3,Rates for White Products,278,0.585449
0,3,Rates for White Products,279,0.587125
0,3,Rates for White Products,280,0.5888
0,3,Rates for White Products,281,0.590475
0,3,Rates for White Products,282,0.59215
0,3,Rates for White Products,283,0.593825
0,3,Rates for White Products,284,0.595501
0,3,Rates for White Products,285,0.597176
0,3,Rates for White Products,286,0.598851
0,3,Rates for White Products,287,0.600526
0,3,Rates for White Products,288,0.602201
0,3,Rates for White Products,289,0.603877
0,3,Rates for White Products,290,0.605552
0,3,Rates for White Products,291,0.607227
0,3,Rates for White Products,292,0.608902
0,3,Rates for White Products,293,0.610577
0,3,Rates for White Products,294,0.612253
0,3,Rates for White Products,295,0.613928
0,3,Rates for White Products,296,0.615603
0,3,Rates for White Products,297,0.617278
0,3,Rates for White Products,298,0.618954
0,3,Rates for White Products,299,0.620629
0,3,Rates for White Products,300,0.622304
0,3,Rates for White Products,301,0.623059
0,3,Rates for White Products,302,0.623813
0,3,Rates for White Products,303,0.624568
0,3,Rates for White Products,304,0.625322
0,3,Rates for White Products,305,0.626077
0,3,Rates for White Products,306,0.626832
0,3,Rates for White Products,307,0.627586
0,3,Rates for White Products,308,0.628341
0,3,Rates for White Products,309,0.629095
0,3,Rates for White Products,310,0.62985
0,3,Rates for White Products,311,0.630605
0,3,Rates for White Products,312,0.631359
0,3,Rates for White Products,313,0.632114
0,3,Rates for White Products,314,0.632868
0,3,Rates for White Products,315,0.633623
0,3,Rates for White Products,316,0.634378
0,3,Rates for White Products,317,0.635132
0,3,Rates for White Products,318,0.635887
0,3,Rates for White Products,319,0.636641
0,3,Rates for White Products,320,0.637396
0,3,Rates for White Products,321,0.638151
0,3,Rates for White Products,322,0.638905
0,3,Rates for White Products,323,0.63966
0,3,Rates for White Products,324,0.640414
0,3,Rates for White Products,325,0.641169
0,3,Rates for White Products,326,0.641924
0,3,Rates for White Products,327,0.642678
0,3,Rates for White Products,328,0.643433
0,3,Rates for White Products,329,0.644187
0,3,Rates for White Products,330,0.644942
0,3,Rates for White Products,331,0.645697
0,3,Rates for White Products,332,0.646451
0,3,Rates for White Products,333,0.647206
0,3,Rates for White Products,334,0.64796
0,3,Rates for White Products,335,0.648715
0,3,Rates for White Products,336,0.64947
0,3,Rates for White Products,337,0.650224
0,3,Rates for White Products,338,0.650979
0,3,Rates for White Products,339,0.651733
0,3,Rates for White Products,340,0.652488
0,3,Rates for White Products,341,0.653243
0,3,Rates for White Products,342,0.653997
0,3,Rates for White Products,343,0.654752
0,3,Rates for White Products,344,0.655506
0,3,Rates for White Products,345,0.656261
0,3,Rates for White Products,346,0.657016
0,3,Rates for White Products,347,0.65777
0,3,Rates for White Products,348,0.658525
0,3,Rates for White Products,349,0.659279
0,3,Rates for White Products,350,0.660034
0,3,Rates for White Products,351,0.660789
0,3,Rates for White Products,352,0.661543
0,3,Rates for White Products,353,0.662298
0,3,Rates for White Products,354,0.663052
0,3,Rates for White Products,355,0.663807
0,3,Rates for White Products,356,0.664562
0,3,Rates for White Products,357,0.665316
0,3,Rates for White Products,358,0.666071
0,3,Rates for White Products,359,0.666825
0,3,Rates for White Products,360,0.66758
0,3,Rates for White Products,361,0.668335
0,3,Rates for White Products,362,0.669089
0,3,Rates for White Products,363,0.669844
0,3,Rates for White Products,364,0.670598
0,3,Rates for White Products,365,0.671353
0,3,Rates for White Products,366,0.672108
0,3,Rates for White Products,367,0.672862
0,3,Rates for White Products,368,0.673617
0,3,Rates for White Products,369,0.674371
0,3,Rates for White Products,370,0.675126
0,3,Rates for White Products,371,0.675881
0,3,Rates for White Products,372,0.676635
0,3,Rates for White Products,373,0.67739
